Id	Workflow Name/File	Tree?	searchSpace	# operators	# edges	# blocking edges	# operators with more than 1 input ports	# operators with more than 1 output ports	Maximum # of input ports in an operator	Maximum # of output ports in an operator	AVG indegree of operators	AVG outdegree of operators	MAX indegree of an operator	MAX outdegree of an operator	# edges in an undirected cycle	Schedulable?	00000-searchFinished	00000-searchTime	00000-numStates	00000-OSEPCost	00001-searchFinished	00001-searchTime	00001-numStates	00001-OSEPCost	00010-searchFinished	00010-searchTime	00010-numStates	00010-OSEPCost	00011-searchFinished	00011-searchTime	00011-numStates	00011-OSEPCost	00100-searchFinished	00100-searchTime	00100-numStates	00100-OSEPCost	00101-searchFinished	00101-searchTime	00101-numStates	00101-OSEPCost	00110-searchFinished	00110-searchTime	00110-numStates	00110-OSEPCost	00111-searchFinished	00111-searchTime	00111-numStates	00111-OSEPCost	01000-searchFinished	01000-searchTime	01000-numStates	01000-OSEPCost	01001-searchFinished	01001-searchTime	01001-numStates	01001-OSEPCost	01010-searchFinished	01010-searchTime	01010-numStates	01010-OSEPCost	01011-searchFinished	01011-searchTime	01011-numStates	01011-OSEPCost	01100-searchFinished	01100-searchTime	01100-numStates	01100-OSEPCost	01101-searchFinished	01101-searchTime	01101-numStates	01101-OSEPCost	01110-searchFinished	01110-searchTime	01110-numStates	01110-OSEPCost	01111-searchFinished	01111-searchTime	01111-numStates	01111-OSEPCost	10000-searchFinished	10000-searchTime	10000-numStates	10000-OSEPCost	10001-searchFinished	10001-searchTime	10001-numStates	10001-OSEPCost	10010-searchFinished	10010-searchTime	10010-numStates	10010-OSEPCost	10011-searchFinished	10011-searchTime	10011-numStates	10011-OSEPCost	10100-searchFinished	10100-searchTime	10100-numStates	10100-OSEPCost	10101-searchFinished	10101-searchTime	10101-numStates	10101-OSEPCost	10110-searchFinished	10110-searchTime	10110-numStates	10110-OSEPCost	10111-searchFinished	10111-searchTime	10111-numStates	10111-OSEPCost	11000-searchFinished	11000-searchTime	11000-numStates	11000-OSEPCost	11001-searchFinished	11001-searchTime	11001-numStates	11001-OSEPCost	11010-searchFinished	11010-searchTime	11010-numStates	11010-OSEPCost	11011-searchFinished	11011-searchTime	11011-numStates	11011-OSEPCost	11100-searchFinished	11100-searchTime	11100-numStates	11100-OSEPCost	11101-searchFinished	11101-searchTime	11101-numStates	11101-OSEPCost	11110-searchFinished	11110-searchTime	11110-numStates	11110-OSEPCost	11111-searchFinished	11111-searchTime	11111-numStates	11111-OSEPCost
2179	MTBF	FALSE	47	48	62	15	6	6	12	12	1.347826087	1.347826087	12	12	5	FALSE	FALSE	58829	50006	643089	FALSE	58910	50012	643089	TRUE	8016	4096	29674	TRUE	5455	2320	29674	TRUE	207	128	29674	TRUE	90	38	29674	TRUE	17	16	29674	TRUE	13	9	29674	TRUE	589	51	48946	TRUE	551	44	48946	TRUE	26	13	29674	TRUE	30	12	29674	TRUE	14	8	29674	TRUE	12	7	29674	TRUE	5	5	29674	TRUE	11	4	29674	FALSE	53876	50006	29674	FALSE	51119	50016	29674	TRUE	8278	4096	29674	TRUE	4813	1824	29674	FALSE	108907	50008	29674	FALSE	97878	50001	29674	TRUE	13	16	29674	TRUE	12	14	29674	TRUE	414	51	758722	TRUE	603	38	758722	TRUE	28	13	55434	TRUE	19	4	55434	TRUE	92	21	188937	TRUE	70	21	188937	TRUE	7	5	53174	TRUE	5	4	53174
2075	LukesLocal	FALSE	46	85	88	42	10	5	2	5	1.128205128	1.128205128	2	5	6	FALSE	FALSE	82176	50034	8659019	FALSE	73036	50034	8659019	FALSE	114746	50008	1280838	FALSE	115980	50002	1280838	TRUE	48	32	14211	TRUE	31	19	14211	TRUE	4	4	14211	TRUE	4	4	14211	TRUE	701	49	14211	TRUE	690	49	14211	TRUE	224	21	14211	TRUE	91	21	14211	TRUE	12	6	14211	TRUE	8	6	14211	TRUE	4	3	14211	TRUE	4	3	14211	FALSE	72375	50034	14211	FALSE	73164	50004	14211	FALSE	123249	50008	14211	FALSE	149597	50001	14211	TRUE	46	32	14211	TRUE	20	17	14211	TRUE	3	4	14211	TRUE	3	3	14211	TRUE	512	49	14211	TRUE	25	2	14211	TRUE	85	21	14211	TRUE	12	2	14211	TRUE	7	6	14211	TRUE	2	2	14211	TRUE	3	3	14211	TRUE	2	2	14211
912	CTC Scorecard	FALSE	46	68	73	27	13	10	2	2	1.216666667	1.216666667	2	2	7	FALSE	FALSE	75982	50008	3.32E+08	FALSE	138654	50021	3.32E+08	FALSE	110053	50001	3.25E+08	FALSE	174885	50005	3.24E+08	FALSE	117448	50008	3.22E+08	FALSE	279304	50001	3.22E+08	TRUE	12179	4096	3.22E+08	TRUE	1095	284	3.22E+08	TRUE	555	47	3.22E+08	TRUE	461	44	3.22E+08	TRUE	128	25	3.22E+08	TRUE	179	22	3.22E+08	TRUE	105	21	3.22E+08	TRUE	113	18	3.22E+08	TRUE	35	13	3.22E+08	TRUE	33	10	3.22E+08	FALSE	69002	50008	1.80E+308	FALSE	71614	50008	1.80E+308	FALSE	108492	50001	3.22E+08	FALSE	108113	50001	3.22E+08	FALSE	123527	50009	3.22E+08	FALSE	100815	50005	3.22E+08	TRUE	10459	4096	3.22E+08	TRUE	8924	3849	3.22E+08	TRUE	514	47	6.54E+08	TRUE	410	32	6.54E+08	TRUE	134	25	6.47E+08	TRUE	80	11	6.47E+08	TRUE	157	22	3.72E+08	TRUE	79	16	3.72E+08	TRUE	35	13	3.22E+08	TRUE	27	12	3.22E+08
1253	fb01_int_games_scraper_Euro_2020	FALSE	41	60	62	21	6	5	2	2	1.107142857	1.107142857	2	2	10	FALSE	FALSE	63490	50020	4343978	FALSE	95079	50006	4343978	TRUE	875	512	329273	TRUE	325	137	329273	TRUE	519	256	329273	TRUE	148	70	329273	TRUE	7	8	329273	TRUE	11	6	329273	TRUE	706	52	329273	TRUE	519	51	329273	TRUE	20	10	329273	TRUE	28	9	329273	TRUE	18	9	329273	TRUE	15	8	329273	TRUE	6	4	329273	TRUE	4	3	329273	FALSE	59258	50020	329273	FALSE	61443	50001	329273	TRUE	1106	512	329273	TRUE	728	391	329273	TRUE	6274	2048	329273	TRUE	4486	1542	329273	TRUE	5	8	329273	TRUE	7	8	329273	TRUE	680	52	4629652	TRUE	527	47	4629652	TRUE	19	10	1107705	TRUE	19	8	1107705	TRUE	25	12	329273	TRUE	14	3	329273	TRUE	4	4	329273	TRUE	4	3	329273
1674	Just KNIME It S02 _ CH09 _ Wine Quality	FALSE	41	54	64	23	11	11	3	3	1.230769231	1.230769231	3	3	8	FALSE	FALSE	70027	50014	636455	FALSE	92309	50004	636455	FALSE	74241	50006	513017	FALSE	99834	50001	513017	FALSE	135430	50002	137193	TRUE	35505	6196	106460	TRUE	107241	32768	106460	TRUE	7881	1575	106460	TRUE	553	46	117271	TRUE	417	40	117271	TRUE	383	40	106460	TRUE	306	36	106460	TRUE	89	18	106460	TRUE	75	14	106460	TRUE	76	16	106460	TRUE	68	12	106460	FALSE	68827	50014	1.80E+308	FALSE	62929	50014	1.80E+308	FALSE	64235	50006	1.80E+308	FALSE	72928	50006	1.80E+308	FALSE	130217	50002	106460	FALSE	108334	50002	106460	TRUE	84113	32768	106460	TRUE	83978	31242	106460	TRUE	552	46	678978	TRUE	405	36	678978	TRUE	395	40	386660	TRUE	447	29	386660	TRUE	68	19	363148	TRUE	79	18	363148	TRUE	39	16	250909	TRUE	49	13	250909
49	02 Creating Your Sports Analytics Dataset	FALSE	40	57	57	17	4	3	2	2	1.075471698	1.075471698	2	2	10	FALSE	FALSE	60807	50014	1063258	FALSE	64061	50012	1063258	TRUE	111	128	24462	TRUE	84	71	24462	TRUE	14	16	24462	TRUE	13	11	24462	TRUE	5	4	24462	TRUE	3	3	24462	TRUE	417	46	82200	TRUE	480	44	82200	TRUE	11	8	24462	TRUE	10	8	24462	TRUE	5	5	24462	TRUE	5	5	24462	TRUE	4	3	24462	TRUE	4	3	24462	FALSE	43516	50014	24462	FALSE	44975	50013	24462	TRUE	152	128	24462	TRUE	118	69	24462	TRUE	1464	1024	24462	TRUE	740	520	24462	TRUE	4	4	24462	TRUE	2	3	24462	TRUE	292	46	24462	TRUE	15	2	24462	TRUE	10	8	24462	TRUE	3	2	24462	TRUE	14	11	24462	TRUE	5	2	24462	TRUE	2	3	24462	TRUE	2	2	24462
2766	Trabajo de estructuracion de datos	FALSE	40	66	68	28	14	6	4	4	1.307692308	1.307692308	4	4	6	FALSE	FALSE	74806	50014	763087	FALSE	83031	50030	763087	TRUE	17516	8192	37119	TRUE	7833	3091	37119	TRUE	17991	8192	37119	TRUE	5082	2058	37119	TRUE	25	32	37119	TRUE	19	16	37119	TRUE	669	46	37119	TRUE	368	45	37119	TRUE	29	14	37119	TRUE	28	13	37119	TRUE	31	14	37119	TRUE	46	13	37119	TRUE	7	6	37119	TRUE	6	5	37119	FALSE	48000	50014	37119	FALSE	48512	50007	37119	TRUE	15937	8192	37119	TRUE	10694	5140	37119	FALSE	108274	50002	37119	TRUE	120720	49160	37119	TRUE	28	32	37119	TRUE	21	27	37119	TRUE	338	46	187798	TRUE	105	10	187798	TRUE	28	14	37700	TRUE	8	3	37700	TRUE	43	17	114211	TRUE	33	8	114211	TRUE	5	6	57918	TRUE	4	4	57918
2143	ML_proj	FALSE	40	53	60	20	8	6	2	4	1.153846154	1.153846154	2	4	15	FALSE	FALSE	44269	50014	1159330	FALSE	84928	50007	1159330	FALSE	44866	50009	1313709	FALSE	97736	50020	1313709	TRUE	1300	1024	100133	TRUE	310	138	100133	TRUE	1288	1024	100133	TRUE	273	138	100133	TRUE	299	46	100133	TRUE	343	44	100133	TRUE	388	44	100133	TRUE	305	42	100133	TRUE	15	11	100133	TRUE	24	9	100133	TRUE	16	11	100133	TRUE	19	9	100133	FALSE	42269	50014	1.80E+308	FALSE	43796	50014	1.80E+308	FALSE	45056	50009	1.80E+308	FALSE	42509	50009	1.80E+308	TRUE	1608	1024	100133	TRUE	1198	900	100133	TRUE	1820	1024	100133	TRUE	1467	900	100133	TRUE	380	46	1370357	TRUE	343	38	1370357	TRUE	254	44	1524669	TRUE	237	40	1524669	TRUE	14	11	222232	TRUE	15	10	222232	TRUE	15	11	222232	TRUE	14	10	222232
1883	KNIME_ListMonthsBetweenDates	FALSE	40	44	46	6	4	3	2	2	1.095238095	1.095238095	2	2	28	FALSE	FALSE	50282	50006	353749	FALSE	54405	50007	353749	FALSE	62838	50006	293948	FALSE	68500	50003	293948	TRUE	69	64	10610	TRUE	22	21	10610	TRUE	48	64	10610	TRUE	30	21	10610	TRUE	232	41	38488	TRUE	301	38	38488	TRUE	137	32	38488	TRUE	178	29	38488	TRUE	7	7	38488	TRUE	7	4	38488	TRUE	9	7	38488	TRUE	8	4	38488	FALSE	46027	50006	10610	FALSE	46523	50003	10610	FALSE	54373	50006	10610	FALSE	60351	50001	10610	TRUE	169	128	10610	TRUE	162	102	10610	TRUE	62	64	10610	TRUE	45	53	10610	TRUE	238	41	10610	TRUE	20	3	10610	TRUE	156	32	10610	TRUE	21	3	10610	TRUE	10	8	10610	TRUE	8	3	10610	TRUE	6	7	10610	TRUE	5	3	10610
892	CreditScoringModelDemo	FALSE	39	53	59	20	7	8	3	3	1.156862745	1.156862745	3	3	3	FALSE	FALSE	47069	50009	1011977	FALSE	78722	50024	1011977	FALSE	47261	50008	888596	FALSE	88044	50003	888596	TRUE	6318	4096	109538	TRUE	1315	527	109538	TRUE	1882	1024	109538	TRUE	231	142	109538	TRUE	294	44	109538	TRUE	280	42	109538	TRUE	200	39	109538	TRUE	210	37	109538	TRUE	21	13	109538	TRUE	21	11	109538	TRUE	15	11	109538	TRUE	23	9	109538	FALSE	41952	50009	1.80E+308	FALSE	40048	50009	1.80E+308	FALSE	45977	50008	1.80E+308	FALSE	45702	50008	1.80E+308	TRUE	7149	4096	109538	TRUE	7216	3592	109538	TRUE	1333	1024	109538	TRUE	1518	903	109538	TRUE	321	44	729798	TRUE	188	26	729798	TRUE	261	39	760670	TRUE	151	24	760670	TRUE	26	13	215007	TRUE	14	7	215007	TRUE	14	11	215007	TRUE	15	7	215007
