Id	Workflow Name/File	Tree?	searchSpace	# operators	# edges	# blocking edges	Top-down Exhaustive	Bottom-up Exhaustive	Bottom-up - Top-down	00111-searchFinished	00111-numStates	00111-OSEPCost	01111-searchFinished	Top-down Greedy	Bottom-up Greedy	Bottom-up Greedy - Top-down Greedy	01111-numStates	01111-OSEPCost	10111-searchFinished	10111-numStates	10111-OSEPCost	11111-searchFinished	11111-numStates	11111-OSEPCost
886	CreditScoreByAryan	FALSE	38	52	58	20	322	1243	921	TRUE	143	109382	TRUE	29	21	-8	9	109382	TRUE	902	109382	TRUE	8	264894
2184	Mudit Credit Score Project	FALSE	38	52	58	20	224	1439	1215	TRUE	137	109272	TRUE	19	10	-9	9	109272	TRUE	901	109272	TRUE	6	209270
2435	Regression_Asg3	FALSE	38	45	50	12	9	40	31	TRUE	7	160830	TRUE	3	4	1	2	160830	TRUE	64	160830	TRUE	7	160830
2084	MainProject	FALSE	38	52	58	20	226	1276	1050	TRUE	142	109390	TRUE	14	17	3	9	109390	TRUE	900	109390	TRUE	11	414966
1892	KNIME_project(sessional)	FALSE	38	52	58	20	296	1275	979	TRUE	140	109625	TRUE	15	17	2	9	109625	TRUE	901	109625	TRUE	7	215225
369	ACreditScoring	FALSE	38	52	58	20	231	1570	1339	TRUE	136	109506	TRUE	18	17	-1	9	109506	TRUE	904	109506	TRUE	9	315083
371	AdarshSingh_CreditScore Model	FALSE	38	52	58	20	133	561	428	TRUE	83	109359	TRUE	12	11	-1	8	109359	TRUE	455	109359	TRUE	8	289992
429	Amrit Anand	FALSE	38	52	58	20	250	1369	1119	TRUE	146	107092	TRUE	25	9	-16	9	107092	TRUE	903	107092	TRUE	4	107092
443	Ankit_Bhardwaj	FALSE	38	52	58	20	108	519	411	TRUE	71	109322	TRUE	14	6	-8	8	109322	TRUE	453	109322	TRUE	4	109322
459	AshishUpadhyay_Knime	FALSE	38	52	58	20	297	1550	1253	TRUE	139	109571	TRUE	21	14	-7	9	109571	TRUE	903	109571	TRUE	11	415150
467	assesment	FALSE	38	52	58	20	237	1189	952	TRUE	140	109052	TRUE	16	18	2	9	109052	TRUE	902	109052	TRUE	9	359099
469	Assessment1(Khushi Chaudhary-87)	FALSE	38	52	58	20	390	1170	780	TRUE	141	109359	TRUE	18	11	-7	9	109359	TRUE	902	109359	TRUE	6	209360
864	KNIME_project_creditScoring	FALSE	38	52	58	20	270	1337	1067	TRUE	146	109447	TRUE	17	11	-6	9	109447	TRUE	904	109447	TRUE	5	159513
894	Credit_Card_Scoring	FALSE	38	52	58	20	253	1676	1423	TRUE	144	109490	TRUE	20	18	-2	9	109490	TRUE	899	109490	TRUE	8	354087
896	credit_scoreassessment1	FALSE	38	52	58	20	359	1236	877	TRUE	149	109337	TRUE	17	17	0	9	109337	TRUE	902	109337	TRUE	11	414706
893	creditScoringWork	FALSE	38	52	58	20	319	1372	1053	TRUE	144	109806	TRUE	22	12	-10	9	109806	TRUE	902	109806	TRUE	7	259855
899	CREDIT_SCORE_	FALSE	38	52	58	20	405	1222	817	TRUE	144	109150	TRUE	15	14	-1	9	109150	TRUE	899	109150	TRUE	7	259207
888	creditscore_assesment	FALSE	38	52	58	20	472	1430	958	TRUE	151	109334	TRUE	21	10	-11	9	109334	TRUE	904	109334	TRUE	5	114782
887	credit score project 2	FALSE	38	52	58	20	315	1579	1264	TRUE	135	109721	TRUE	21	12	-9	9	109721	TRUE	902	109721	TRUE	7	304254
901	Credit_Score_project	FALSE	38	52	58	20	270	1398	1128	TRUE	139	109627	TRUE	18	8	-10	9	109627	TRUE	901	109627	TRUE	4	109627
891	CreditScoring1	FALSE	38	52	58	20	134	627	493	TRUE	68	109550	TRUE	16	14	-2	8	109550	TRUE	455	109550	TRUE	7	259598
903	Credit_Scoring_Assessment1	FALSE	38	52	58	20	312	1184	872	TRUE	140	109375	TRUE	17	31	14	9	109375	TRUE	903	109375	TRUE	8	264888
470	assessment1	FALSE	38	52	58	20	261	1313	1052	TRUE	146	109324	TRUE	20	14	-6	9	109324	TRUE	901	109324	TRUE	8	309454
468	assesment1	FALSE	38	52	58	20	334	1368	1034	TRUE	146	109052	TRUE	17	37	20	9	109052	TRUE	903	109052	TRUE	6	209055
458	AryanDevbrat_Credit_Scoring	FALSE	38	52	58	20	343	1459	1116	TRUE	141	109391	TRUE	17	14	-3	9	109391	TRUE	904	109391	TRUE	7	212048
905	cred_scoring_model	FALSE	38	52	58	20	338	1692	1354	TRUE	138	109302	TRUE	16	11	-5	9	109302	TRUE	899	109302	TRUE	5	203833
897	Credit_Score via Nural network	FALSE	38	52	58	20	319	1251	932	TRUE	145	107679	TRUE	20	19	-1	9	107679	TRUE	903	107679	TRUE	11	410290
384	Aditya_credit score model	FALSE	38	52	58	20	255	1253	998	TRUE	143	109087	TRUE	15	14	-1	9	109087	TRUE	901	109087	TRUE	10	320153
1045	Deepak credit scoring	FALSE	38	52	58	20	384	1401	1017	TRUE	141	109595	TRUE	24	17	-7	9	109595	TRUE	900	109595	TRUE	7	259654
1109	dubeyproject	FALSE	38	52	58	20	258	1247	989	TRUE	145	109600	TRUE	20	15	-5	9	109600	TRUE	902	109600	TRUE	10	365113
1161	examcredit	FALSE	38	52	58	20	304	1600	1296	TRUE	137	109522	TRUE	21	18	-3	9	109522	TRUE	902	109522	TRUE	11	415122
1927	KNIME_project_credit_scoring	FALSE	38	52	58	20	392	1232	840	TRUE	148	109446	TRUE	20	17	-3	9	109446	TRUE	902	109446	TRUE	8	398644
1825	KNIME_Assessment1{JEEWAN KARKI - 2001330130079}	FALSE	38	52	58	20	326	1627	1301	TRUE	147	109185	TRUE	14	18	4	9	109185	TRUE	903	109185	TRUE	11	414762
1911	KNIME_project credit	FALSE	38	52	58	20	274	1769	1495	TRUE	144	109369	TRUE	21	19	-2	9	109369	TRUE	903	109369	TRUE	6	164904
1857	KNIME_CreditScore_Krishna_Gupta	FALSE	38	52	58	20	296	1493	1197	TRUE	139	109571	TRUE	20	15	-5	9	109571	TRUE	903	109571	TRUE	7	215020
1859	KNIME_CreditScoring_Mukund	FALSE	38	52	58	20	145	528	383	TRUE	82	95168	TRUE	12	13	1	8	95168	TRUE	452	95168	TRUE	8	161624
1055	DemoCreditScore	FALSE	38	52	58	20	308	1783	1475	TRUE	147	109610	TRUE	24	24	0	9	109610	TRUE	904	109610	TRUE	6	254207
1824	KNIME_AssesmentCreditScore	FALSE	38	52	58	20	369	1260	891	TRUE	152	109168	TRUE	14	18	4	9	109168	TRUE	900	109168	TRUE	11	414748
885	credit score assesment question	FALSE	38	52	58	20	271	1307	1036	TRUE	135	109605	TRUE	15	12	-3	9	109605	TRUE	903	109605	TRUE	5	204142
872	Credit Scoring Model Project	FALSE	38	52	58	20	291	1522	1231	TRUE	134	109270	TRUE	21	14	-7	9	109270	TRUE	903	109270	TRUE	7	303927
868	Credit Scoring Assesment 1 Project	FALSE	38	52	58	20	262	1929	1667	TRUE	147	109387	TRUE	16	11	-5	9	109387	TRUE	898	109387	TRUE	4	109387
855	created scoring	FALSE	38	52	58	20	275	1140	865	TRUE	141	109692	TRUE	14	15	1	9	109692	TRUE	904	109692	TRUE	9	270673
874	Credit scoring through Neural Network, Sum and Standard Deviation on KNIME	FALSE	38	52	58	20	6	13	7	TRUE	7	123672	TRUE	3	5	2	4	123672	TRUE	30	123672	TRUE	6	311242
865	credit Score	FALSE	38	52	58	20	481	1228	747	TRUE	145	109605	TRUE	17	13	-4	9	109605	TRUE	903	109605	TRUE	9	315184
1177	exam_creditscoring	FALSE	38	52	58	20	314	1501	1187	TRUE	142	109285	TRUE	17	16	-1	9	109285	TRUE	904	109285	TRUE	6	120204
878	Credit Scoring Via Neutral Network	FALSE	38	52	58	20	334	1443	1109	TRUE	136	108910	TRUE	16	19	3	9	108910	TRUE	901	108910	TRUE	9	314359
869	Credit scoring by neural network	FALSE	38	52	58	20	294	1255	961	TRUE	133	109602	TRUE	20	15	-5	9	109602	TRUE	901	109602	TRUE	5	204133
871	Credit Scoring Model	FALSE	38	52	58	20	473	1252	779	TRUE	148	109468	TRUE	16	11	-5	9	109468	TRUE	904	109468	TRUE	6	164999
873	credit scoring project	FALSE	38	52	58	20	328	1835	1507	TRUE	143	109343	TRUE	19	14	-5	9	109343	TRUE	901	109343	TRUE	8	220424
870	CREDIT SCORING KNIME PROJECT	FALSE	38	52	58	20	279	1293	1014	TRUE	134	109278	TRUE	19	12	-7	9	109278	TRUE	904	109278	TRUE	6	164817
877	Credit Scoring Via Neural Network	FALSE	38	52	58	20	261	1319	1058	TRUE	148	109358	TRUE	24	13	-11	9	109358	TRUE	904	109358	TRUE	5	114829
879	credit Scoring_proj	FALSE	38	52	58	20	317	1220	903	TRUE	139	109124	TRUE	20	13	-7	9	109124	TRUE	904	109124	TRUE	6	164643
880	CreditBuildingModelDEmo	FALSE	38	52	58	20	260	1659	1399	TRUE	137	108988	TRUE	17	20	3	9	108988	TRUE	904	108988	TRUE	11	414575
1796	knime project credit scoring	FALSE	38	52	58	20	328	1364	1036	TRUE	142	109491	TRUE	22	20	-2	9	109491	TRUE	903	109491	TRUE	10	409310
884	creditscore127	FALSE	38	52	58	20	367	1267	900	TRUE	142	109542	TRUE	24	15	-9	9	109542	TRUE	900	109542	TRUE	10	320590
881	creditcardscoring	FALSE	38	52	58	20	259	1764	1505	TRUE	139	109462	TRUE	19	23	4	9	109462	TRUE	903	109462	TRUE	11	415033
895	credit_project4	FALSE	38	52	58	20	156	594	438	TRUE	74	109852	TRUE	20	17	-3	8	109852	TRUE	452	109852	TRUE	8	220906
1867	KNIME_FA analysis_TN	FALSE	37	40	42	5	132	111	-21	TRUE	131	2176	TRUE	10	2	-8	9	2176	TRUE	136	2176	TRUE	2	2176
1905	KNIME_project9- building a credit scoring model	FALSE	37	51	57	20	284	1474	1190	TRUE	142	109683	TRUE	22	10	-12	9	109683	TRUE	898	109683	TRUE	5	204214
1858	KNIME_CreditScoringAssesment	FALSE	37	51	57	20	200	1410	1210	TRUE	133	109309	TRUE	14	17	3	9	109309	TRUE	902	109309	TRUE	11	414885
540	Building_a_creditscoring_model	FALSE	37	51	57	20	252	1237	985	TRUE	145	109366	TRUE	17	18	1	9	109366	TRUE	902	109366	TRUE	10	409526
547	bulding a credit card	FALSE	37	51	57	20	339	1326	987	TRUE	141	109367	TRUE	20	18	-2	9	109367	TRUE	904	109367	TRUE	9	270362
2724	Testknime	FALSE	37	53	59	22	214	1004	790	TRUE	142	107870	TRUE	16	13	-3	9	107870	TRUE	903	107870	TRUE	6	118786
1256	FEP analysis 1-2	FALSE	36	41	45	9	856	1716	860	TRUE	650	21292	TRUE	12	12	0	10	72580	TRUE	1420	21292	TRUE	9	232572
2211	News as Text	FALSE	36	49	53	17	3	2	-1	TRUE	2	28380	TRUE	2	2	0	2	28380	TRUE	2	28380	TRUE	2	28380
2561	Sequence descriptors	FALSE	35	42	43	8	7	5	-2	TRUE	8	12534	TRUE	4	3	-1	4	12534	TRUE	14	12534	TRUE	3	12534
532	Bocquet_Mickaël_1_workflow_KNIME_102023	FALSE	34	48	47	13	1	1	0	TRUE	2	2266	TRUE	1	1	0	2	2266	TRUE	2	2266	TRUE	2	2266
1262	Ficha 8	FALSE	34	36	44	10	1664	9650	7986	TRUE	1041	70303	TRUE	29	16	-13	12	70303	TRUE	7179	70303	TRUE	10	236969
2282	Performance v5	FALSE	32	59	58	26	4	2	-2	TRUE	3	122639	TRUE	2	2	0	3	122639	TRUE	4	122639	TRUE	2	122639
2586	Austin2024	FALSE	31	39	42	11	12	24	12	TRUE	12	57806	TRUE	5	3	-2	4	57806	TRUE	63	57806	TRUE	5	57806
2144	ROC_model_comparison	FALSE	30	40	46	16	42	34	-8	TRUE	47	12471	TRUE	7	2	-5	6	12471	TRUE	33	12471	TRUE	2	72610
30	01_CreditScoring	FALSE	30	47	53	23	14	49	35	TRUE	12	109543	TRUE	5	5	0	5	109543	TRUE	58	109543	TRUE	5	159609
1102	DrugDiscovery - compound properties predictions	FALSE	30	53	63	33	204	1703	1499	TRUE	78	4373996	TRUE	17	23	6	6	4904060	TRUE	966	4373996	TRUE	11	6038241
1072	Diabetes2	FALSE	29	42	44	15	2	1	-1	TRUE	2	6767	TRUE	2	1	-1	2	6767	TRUE	2	6767	TRUE	2	6767
1926	KNIME_project_ass3	FALSE	28	39	42	14	1130	1416	286	TRUE	1031	1464695	TRUE	12	3	-9	12	1464695	TRUE	1034	1464695	TRUE	2	1464695
1926	KNIME_project_ass3	FALSE	28	39	42	14	1130	1416	286	TRUE	1031	1464695	TRUE	12	3	-9	12	1464695	TRUE	1034	1464695	TRUE	2	1464695
1152	ES1	FALSE	28	39	42	14	53	33	-20	TRUE	85	4021	TRUE	5	2	-3	8	4021	TRUE	53	4021	TRUE	2	4021
2111	MCSS 1-3	FALSE	28	28	31	3	1170	2053	883	TRUE	1218	88786	TRUE	8	7	-1	10	105142	TRUE	2950	88786	TRUE	8	599298
2283	m_001_poisson	FALSE	27	27	30	3	8	5	-3	TRUE	19	11143	TRUE	4	1	-3	6	11143	TRUE	17	11143	TRUE	2	11143
2131	Missing Loop Refinement	FALSE	27	27	30	3	8	10	2	TRUE	10	665692	TRUE	3	2	-1	3	704566	TRUE	26	665692	TRUE	6	709693
1073	Training	FALSE	27	38	39	12	2	1	-1	TRUE	2	102561	TRUE	2	1	-1	2	102561	TRUE	2	102561	TRUE	2	102561
679	Challenge 33 Medical Procedure Prices	FALSE	25	38	40	15	5	4	-1	TRUE	4	32434	TRUE	5	2	-3	3	32434	TRUE	8	32434	TRUE	4	44162
1888	KNIME_PRDT01	FALSE	25	51	50	25	2	1	-1	TRUE	2	190852	TRUE	2	2	0	2	190852	TRUE	2	190852	TRUE	2	190852
2622	split rows by lowest quant in row number	FALSE	25	42	48	23	5	6	1	TRUE	6	24661	TRUE	3	3	0	4	24661	TRUE	15	24661	TRUE	4	37704
1173	ClassificationClusterLDA	FALSE	25	36	37	12	2	1	-1	TRUE	2	55725	TRUE	2	1	-1	2	55725	TRUE	2	55725	TRUE	2	55725
1292	Financial _ Estimating Monthly Invoicing from Usage Periods	FALSE	24	40	45	21	195	504	309	TRUE	114	21518	TRUE	9	10	1	6	41562	TRUE	429	21518	TRUE	6	41562
1536	JKISeason2-24	FALSE	24	32	35	11	4	4	0	TRUE	4	53674	TRUE	3	2	-1	2	53674	TRUE	8	53674	TRUE	4	53674
2575	Similarity 1-2	FALSE	23	28	28	5	3	4	1	TRUE	8	947449	TRUE	2	2	0	4	947449	TRUE	14	947449	TRUE	3	947449
1745	justknimeit - 17 - Raffaello Barri	FALSE	23	38	39	16	2	1	-1	TRUE	2	52126	TRUE	2	1	-1	2	52126	TRUE	2	52126	TRUE	2	52126
448	s_420_spark_h2o_apply	FALSE	23	44	48	25	2	1	-1	TRUE	3	102485	TRUE	3	2	-1	3	102485	TRUE	4	102485	TRUE	2	102485
607	Case9B-Calibrating Clustering Indicators WTVR and Compactness	FALSE	23	28	29	6	1	1	0	TRUE	2	8974716	TRUE	2	0	-2	2	8974716	TRUE	2	8974716	TRUE	2	8974716
2543	SCD Type 7 (Beta)	FALSE	23	34	40	17	80	143	63	TRUE	73	17176	TRUE	10	3	-7	8	17176	TRUE	197	17176	TRUE	3	17176
1765	KPCA	FALSE	22	27	34	12	262	29387	29125	TRUE	154	93456	TRUE	12	14	2	9	93456	TRUE	32648	93456	TRUE	14	195515
2563	Session - IRIS Classification & Prediction - Basic	FALSE	22	49	54	32	3	1	-2	TRUE	4	6546	TRUE	1	1	0	3	6546	TRUE	3	6546	TRUE	2	6546
2348	PROJECT_START	FALSE	22	29	34	12	40	66	26	TRUE	59	21708	TRUE	6	4	-2	7	21708	TRUE	89	21708	TRUE	4	32378
709	kn_forum_42385_replace_strings_questionnaire	FALSE	22	28	29	7	3	2	-1	TRUE	6	2737	TRUE	1	2	1	4	2737	TRUE	6	2737	TRUE	2	2737
721	kn_forum_48440_join_long_texts	FALSE	22	32	36	14	33	343	310	TRUE	40	48438	TRUE	6	8	2	7	48438	TRUE	486	48438	TRUE	10	104755
1631	Just KNIME it-2_Challenge-24_v1	FALSE	22	24	27	5	550	413	-137	TRUE	517	13970	TRUE	7	3	-4	9	38696	TRUE	517	13970	TRUE	2	13970
1665	Just KNIME it 33	FALSE	22	46	47	25	4	4	0	TRUE	3	88208	TRUE	3	1	-2	2	88208	TRUE	4	88208	TRUE	3	88208
1533	JKISeason2-19_LF	FALSE	22	52	55	33	3	2	-1	TRUE	3	2811	TRUE	5	2	-3	3	2811	TRUE	4	2811	TRUE	2	2811
592	Case1-Mapping and Analyzing Population Density Pattern in Baton Rouge	FALSE	21	27	27	6	2	1	-1	TRUE	2	39891	TRUE	2	1	-1	2	39891	TRUE	2	39891	TRUE	2	39891
484	A template pattern for Cumulative Calculations using Standard Nodes with a Recursive Loop	FALSE	21	19	24	3	2118	1271	-847	TRUE	2653	10527	TRUE	6	4	-2	8	41228	TRUE	1549	10527	TRUE	3	10527
2238	OneHotCodingProcessForMultivalueVariableSample	FALSE	21	23	27	6	94	223	129	TRUE	141	23908	TRUE	7	6	-1	7	71428	TRUE	392	23908	TRUE	8	229550
1234	Extract groups from Excel file in a loop	FALSE	21	25	26	5	1	1	0	TRUE	2	5146	TRUE	1	1	0	2	5146	TRUE	2	5146	TRUE	2	5146
2729	Text cell parsing	FALSE	21	23	23	2	1	1	0	TRUE	2	3602	TRUE	2	1	-1	2	3602	TRUE	2	3602	TRUE	2	3602
1687	Just KNIME It _ Challenge 012	FALSE	21	35	36	15	4	9	5	TRUE	5	27752	TRUE	3	4	1	2	27752	TRUE	16	27752	TRUE	5	27752
365	ACADEMIC_PERFORMANCE_2021	FALSE	21	27	30	9	3	3	0	TRUE	4	399095	TRUE	2	2	0	2	399095	TRUE	8	399095	TRUE	4	399095
1077	differential_analysis_of_protein data	FALSE	21	30	30	9	2	1	-1	TRUE	2	2056	TRUE	2	1	-1	2	2056	TRUE	2	2056	TRUE	2	2056
1503	jKi-18	FALSE	20	26	28	8	86	127	41	TRUE	117	90795	TRUE	5	4	-1	7	98959	TRUE	165	90795	TRUE	4	116895
1744	justknimeit - 15 - Raffaello Barri	FALSE	20	21	23	3	1	1	0	TRUE	2	120148	TRUE	1	1	0	2	120148	TRUE	2	120148	TRUE	2	120148
1776	KNIME-Maestro connector	FALSE	20	21	21	1	2	2	0	TRUE	4	608738	TRUE	1	2	1	3	608738	TRUE	8	608738	TRUE	3	608738
