Id	00111-searchFinished	searchSpace	Exhaustive	Greedy	Exhaustive (ms)	Greedy (ms)	# operators	# edges	# blocking edges	# edges in an undirected cycle
1689	TRUE	10	2	2	0	1	11	11	1	4
2887	TRUE	10	4	3	2	1	16	19	9	4
2972	TRUE	10	8	4	3	1	16	16	6	8
2738	TRUE	10	2	2	1	1	15	15	5	3
1559	TRUE	10	4	3	1	1	10	11	1	6
1043	TRUE	10	4	2	3	2	15	17	7	4
2165	TRUE	10	2	2	1	1	18	18	8	5
633	TRUE	10	2	2	2	1	16	17	7	13
722	TRUE	10	4	3	1	1	12	12	2	5
1854	TRUE	10	2	2	1	1	16	16	6	12
980	TRUE	10	2	2	1	1	22	23	13	8
515	TRUE	10	28	4	8	3	16	17	7	8
1174	TRUE	10	7	4	2	1	13	14	4	6
154	TRUE	10	2	2	2	2	24	27	17	13
1245	TRUE	11	4	3	1	1	14	16	5	6
2505	TRUE	11	2	2	1	1	13	12	1	6
2523	TRUE	11	2	2	1	1	13	13	2	12
1625	TRUE	11	2	2	1	1	18	18	7	3
1860	TRUE	11	3	3	1	2	25	26	15	4
652	TRUE	11	2	2	2	2	19	20	9	4
2692	TRUE	11	40	5	7	2	11	13	2	7
2772	TRUE	11	7	4	3	1	15	17	6	6
1016	TRUE	11	5	2	3	1	14	18	7	4
2173	TRUE	11	5	3	2	2	15	16	5	8
977	TRUE	11	4	3	1	1	14	14	3	8
1393	TRUE	11	2	2	1	1	14	14	3	4
1421	TRUE	11	3	3	2	2	16	16	5	12
697	TRUE	11	3	3	2	2	13	13	2	10
2166	TRUE	11	2	2	1	1	19	20	9	3
1751	TRUE	12	2	2	1	1	14	14	2	5
1183	TRUE	12	90	7	20	2	12	14	2	9
1329	TRUE	12	9	4	2	1	15	16	4	9
603	TRUE	12	6	4	4	2	24	25	13	4
2690	TRUE	12	91	5	25	3	12	14	2	4
984	TRUE	12	329	7	165	4	18	22	10	5
498	TRUE	12	11	4	10	4	41	43	31	3
64	TRUE	12	28	6	12	5	19	21	9	8
1778	TRUE	12	89	5	17	2	12	14	2	6
1424	TRUE	12	2	2	1	1	28	25	13	3
1670	TRUE	12	20	6	9	3	20	24	12	7
82	TRUE	13	12	5	5	2	16	20	7	6
94	TRUE	13	11	5	7	3	16	20	7	6
636	TRUE	13	2	2	1	1	14	14	1	7
57	TRUE	13	14	5	6	2	16	20	7	4
2025	TRUE	13	2	2	1	1	19	20	7	4
513	TRUE	13	9	4	11	4	32	35	22	4
27	TRUE	13	11	5	5	3	17	21	8	3
612	TRUE	13	96	7	74	6	25	30	17	4
2181	TRUE	13	12	3	4	3	28	29	16	3
74	TRUE	13	12	5	14	4	16	20	7	6
116	TRUE	13	23	6	22	9	22	26	13	8
2747	TRUE	13	5	3	2	2	18	19	6	10
1037	TRUE	13	17	5	5	2	20	22	9	3
1010	TRUE	13	2	2	1	1	19	18	5	6
2092	TRUE	14	2	2	1	1	24	21	7	3
556	TRUE	14	4	3	2	2	28	33	19	14
705	TRUE	14	12	5	7	5	22	24	10	12
2611	TRUE	14	2	2	1	1	17	17	3	7
656	TRUE	14	2	2	1	1	19	19	5	3
2295	TRUE	14	8	3	5	2	22	25	11	4
2297	TRUE	14	8	3	4	2	21	24	10	4
528	TRUE	14	3	2	1	1	16	17	3	3
2296	TRUE	14	6	3	4	3	22	25	11	4
2422	TRUE	14	141	7	50	3	13	16	2	7
2905	TRUE	14	8	4	2	1	15	15	1	12
2639	TRUE	14	3	2	4	2	32	38	24	3
597	TRUE	15	28	6	14	2	22	23	8	4
1250	TRUE	15	10	4	9	3	23	26	11	4
2731	TRUE	15	4	3	1	2	26	26	11	16
242	TRUE	15	33	7	14	4	18	22	7	3
648	TRUE	15	2	2	1	1	17	17	2	12
593	TRUE	15	7	4	2	1	18	19	4	5
611	TRUE	15	4	2	1	1	21	24	9	6
651	TRUE	16	2	2	1	1	28	28	12	11
1761	TRUE	16	11	5	8	5	22	27	11	6
2248	TRUE	16	17	6	7	3	24	25	9	18
1553	TRUE	16	24	6	7	2	17	18	2	8
2636	TRUE	16	8	4	2	2	21	21	5	10
1556	TRUE	16	34	5	10	3	17	19	3	8
1057	TRUE	16	10	4	5	3	24	26	10	8
2734	TRUE	16	3	2	1	1	19	20	4	3
1235	TRUE	16	3	3	2	3	24	25	9	9
2089	TRUE	16	10	5	5	2	24	27	11	5
1396	TRUE	16	4	2	2	1	25	27	11	3
2816	TRUE	16	17	4	5	2	16	18	2	5
198	TRUE	17	13	5	9	3	27	30	13	5
1576	TRUE	17	33	7	27	6	47	51	34	6
2621	TRUE	17	2	2	1	1	20	20	3	3
2684	TRUE	17	4	3	2	2	20	21	4	8
2909	TRUE	17	2	2	2	2	24	24	7	8
1791	TRUE	17	19	6	9	3	23	27	10	10
2239	TRUE	18	142	9	116	10	18	22	4	4
1058	TRUE	18	7	4	2	2	23	24	6	14
610	TRUE	18	37	5	15	3	18	20	2	6
759	TRUE	18	21	6	13	4	32	32	14	12
2326	TRUE	18	2	2	1	1	18	20	2	4
1328	TRUE	18	8	3	4	4	22	24	6	18
2185	TRUE	19	18	5	11	4	22	27	8	7
920	TRUE	19	139	7	146	9	34	37	18	4
1290	TRUE	19	3	2	3	3	36	41	22	3
1717	TRUE	19	2	2	2	2	37	34	15	6
309	TRUE	19	33	7	27	7	40	52	33	3
308	TRUE	19	33	7	28	7	40	52	33	4
1154	TRUE	19	6	2	5	2	22	26	7	3
1282	TRUE	19	4	2	2	2	34	36	17	3
789	TRUE	19	10	4	3	1	20	22	3	9
1503	TRUE	20	117	7	86	5	26	28	8	18
1776	TRUE	20	4	3	2	1	21	21	1	6
2309	TRUE	20	2	2	2	2	36	35	15	6
1744	TRUE	20	2	2	1	1	21	23	3	3
2099	TRUE	20	10	4	8	4	27	30	10	6
604	TRUE	20	4	3	3	3	37	39	19	4
592	TRUE	21	2	2	2	2	27	27	6	4
2238	TRUE	21	141	7	94	7	23	27	6	10
2729	TRUE	21	2	2	1	2	23	23	2	12
365	TRUE	21	4	2	3	2	27	30	9	4
484	TRUE	21	2653	8	2118	6	19	24	3	6
1234	TRUE	21	2	2	1	1	25	26	5	3
1687	TRUE	21	5	2	4	3	35	36	15	8
1077	TRUE	21	2	2	2	2	30	30	9	12
1765	TRUE	22	154	9	262	12	27	34	12	5
2348	TRUE	22	59	7	40	6	29	34	12	6
721	TRUE	22	40	7	33	6	32	36	14	22
1665	TRUE	22	3	2	4	3	46	47	25	6
2563	TRUE	22	4	3	3	1	49	54	32	3
709	TRUE	22	6	4	3	1	28	29	7	16
1631	TRUE	22	517	9	550	7	24	27	5	16
1533	TRUE	22	3	3	3	5	52	55	33	5
1745	TRUE	23	2	2	2	2	38	39	16	4
607	TRUE	23	2	2	1	2	28	29	6	9
2575	TRUE	23	8	4	3	2	28	28	5	5
448	TRUE	23	3	3	2	3	44	48	25	20
2543	TRUE	23	73	8	80	10	34	40	17	12
1536	TRUE	24	4	2	4	3	32	35	11	6
1292	TRUE	24	114	6	195	9	40	45	21	30
1888	TRUE	25	2	2	2	2	51	50	25	4
1173	TRUE	25	2	2	2	2	36	37	12	3
679	TRUE	25	4	3	5	5	38	40	15	4
2622	TRUE	25	6	4	5	3	42	48	23	22
2283	TRUE	27	19	6	8	4	27	30	3	8
1073	TRUE	27	2	2	2	2	38	39	12	4
2131	TRUE	27	10	3	8	3	27	30	3	19
1926	TRUE	28	1031	12	1130	12	39	42	14	3
1152	TRUE	28	85	8	53	5	39	42	14	7
1926	TRUE	28	1031	12	1130	12	39	42	14	3
2111	TRUE	28	1218	10	1170	8	28	31	3	10
1072	TRUE	29	2	2	2	2	42	44	15	5
2144	TRUE	30	47	6	42	7	40	46	16	8
1102	TRUE	30	78	6	204	17	53	63	33	4
30	TRUE	30	12	5	14	5	47	53	23	3
2586	TRUE	31	12	4	12	5	39	42	11	13
2282	TRUE	32	3	3	4	2	59	58	26	13
