searchSpace	exhausitive-searchFinished	exhausitive-searchTime	greedy-searchFinished	greedy-searchTime
16	TRUE	6	TRUE	2
16	TRUE	4	TRUE	1
16	TRUE	5	TRUE	0
16	TRUE	1	TRUE	2
16	TRUE	1	TRUE	1
16	TRUE	5	TRUE	1
16	TRUE	12	TRUE	2
15	TRUE	10	TRUE	1
15	TRUE	5	TRUE	2
15	TRUE	0	TRUE	1
15	TRUE	28	TRUE	3
15	TRUE	1	TRUE	1
15	TRUE	2	TRUE	1
15	TRUE	2	TRUE	2
14	TRUE	1	TRUE	1
14	TRUE	7	TRUE	3
14	TRUE	1	TRUE	1
14	TRUE	1	TRUE	0
14	TRUE	14	TRUE	3
14	TRUE	10	TRUE	2
14	TRUE	0	TRUE	1
14	TRUE	114	TRUE	3
14	TRUE	0	TRUE	1
14	TRUE	1	TRUE	1
14	TRUE	7	TRUE	3
14	TRUE	2	TRUE	2
13	TRUE	7	TRUE	2
13	TRUE	99	TRUE	5
13	TRUE	7	TRUE	2
13	TRUE	5	TRUE	1
13	TRUE	1	TRUE	1
13	TRUE	10	TRUE	2
13	TRUE	9	TRUE	2
13	TRUE	32	TRUE	3
13	TRUE	1	TRUE	1
13	TRUE	2	TRUE	1
13	TRUE	10	TRUE	4
13	TRUE	8	TRUE	2
13	TRUE	14	TRUE	3
13	TRUE	0	TRUE	0
12	TRUE	0	TRUE	1
12	TRUE	13	TRUE	3
12	TRUE	11	TRUE	1
12	TRUE	13	TRUE	2
12	TRUE	3	TRUE	1
12	TRUE	15	TRUE	1
12	TRUE	2	TRUE	1
12	TRUE	0	TRUE	1
12	TRUE	14	TRUE	1
12	TRUE	7	TRUE	1
12	TRUE	100	TRUE	2
11	TRUE	1	TRUE	1
11	TRUE	1	TRUE	0
11	TRUE	4	TRUE	1
11	TRUE	0	TRUE	1
11	TRUE	2	TRUE	1
11	TRUE	1	TRUE	1
11	TRUE	1	TRUE	1
11	TRUE	1	TRUE	0
11	TRUE	0	TRUE	1
11	TRUE	1	TRUE	1
11	TRUE	1	TRUE	1
11	TRUE	1	TRUE	1
11	TRUE	1	TRUE	0
11	TRUE	7	TRUE	1
11	TRUE	0	TRUE	0
10	TRUE	5	TRUE	3
10	TRUE	0	TRUE	1
10	TRUE	10	TRUE	2
10	TRUE	2	TRUE	1
10	TRUE	2	TRUE	2
10	TRUE	1	TRUE	1
10	TRUE	2	TRUE	1
10	TRUE	0	TRUE	1
10	TRUE	0	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	14	TRUE	2
10	TRUE	2	TRUE	1
10	TRUE	2	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	5	TRUE	1
10	TRUE	2	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	1	TRUE	1
10	TRUE	17	TRUE	4
10	TRUE	5	TRUE	1
10	TRUE	2	TRUE	2
10	TRUE	1	TRUE	1
10	TRUE	9	TRUE	1
10	TRUE	2	TRUE	1
10	TRUE	1	TRUE	1
9	TRUE	2	TRUE	1
9	TRUE	4	TRUE	1
9	TRUE	0	TRUE	0
9	TRUE	1	TRUE	1
9	TRUE	1	TRUE	0
9	TRUE	1	TRUE	1
9	TRUE	2	TRUE	2
9	TRUE	1	TRUE	1
9	TRUE	0	TRUE	0
9	TRUE	0	TRUE	1
9	TRUE	1	TRUE	1
9	TRUE	1	TRUE	0
9	TRUE	1	TRUE	1
9	TRUE	0	TRUE	0
9	TRUE	0	TRUE	0
9	FALSE	102427	TRUE	36
9	TRUE	1	TRUE	1
9	TRUE	1	TRUE	1
9	TRUE	1	TRUE	1
9	TRUE	0	TRUE	0
8	TRUE	30	TRUE	2
8	TRUE	1	TRUE	0
8	TRUE	1	TRUE	1
8	TRUE	3	TRUE	1
8	TRUE	1	TRUE	1
8	TRUE	0	TRUE	1
8	TRUE	1	TRUE	1
8	TRUE	1	TRUE	0
8	TRUE	0	TRUE	0
8	TRUE	0	TRUE	0
8	TRUE	1	TRUE	1
8	TRUE	1315	TRUE	10
8	TRUE	1	TRUE	1
8	TRUE	39	TRUE	3
8	TRUE	4	TRUE	1
8	TRUE	1	TRUE	1
8	TRUE	3	TRUE	1
8	TRUE	1	TRUE	1
8	TRUE	1	TRUE	1
8	TRUE	5	TRUE	1
8	TRUE	20	TRUE	3
8	TRUE	0	TRUE	0
8	TRUE	2	TRUE	1
8	TRUE	0	TRUE	1
8	TRUE	3	TRUE	1
8	TRUE	1	TRUE	0
8	TRUE	1	TRUE	1
7	TRUE	0	TRUE	1
7	TRUE	4	TRUE	2
7	TRUE	0	TRUE	1
7	TRUE	2	TRUE	1
7	TRUE	1	TRUE	1
7	TRUE	1	TRUE	1
7	TRUE	0	TRUE	0
7	TRUE	52	TRUE	6
7	TRUE	1	TRUE	1
7	TRUE	1	TRUE	0
7	TRUE	1	TRUE	0
7	TRUE	1	TRUE	1
7	TRUE	1	TRUE	1
7	TRUE	1	TRUE	1
7	TRUE	2	TRUE	1
7	TRUE	1	TRUE	1
6	TRUE	0	TRUE	0
6	TRUE	1	TRUE	0
6	TRUE	1	TRUE	0
6	TRUE	1	TRUE	0
6	TRUE	0	TRUE	1
6	TRUE	2	TRUE	1
6	TRUE	0	TRUE	1
6	TRUE	1	TRUE	0
6	TRUE	1	TRUE	1
6	TRUE	1	TRUE	1
6	TRUE	1	TRUE	1
6	TRUE	1	TRUE	0
5	TRUE	0	TRUE	1
5	TRUE	1	TRUE	1
5	TRUE	1	TRUE	0
5	TRUE	5	TRUE	2
5	TRUE	1	TRUE	1
5	TRUE	0	TRUE	0
5	TRUE	1	TRUE	1
5	TRUE	52	TRUE	5
5	TRUE	1	TRUE	1
5	TRUE	2	TRUE	1
5	TRUE	1	TRUE	1
